314,MANUFACTURER(GENERAL)
315,SCRAP MERCHANT
316,SCRAP MERCHANT
317,MANUFACTURER(GENERAL)
318,SCRAP MERCHANT
319,MANUFACTURER(GENERAL)
320,SCRAP MERCHANT
321,SCRAP MERCHANT
322,MISCELLANEOUS
323,SCRAP MERCHANT
324,SCRAP MERCHANT
326,SCRAP MERCHANT
327,SCRAP MERCHANT
328,MANUFACTURER(GENERAL)
329,SCRAP MERCHANT
330,SCRAP MERCHANT
331,MANUFACTURER(GENERAL)
332,MISCELLANEOUS
333,MISCELLANEOUS
334,SCRAP MERCHANT
335,MANUFACTURER(GENERAL)
336,MISCELLANEOUS
344,SCRAP MERCHANT
345,MANUFACTURER(GENERAL)
348,SCRAP MERCHANT
350,MANUFACTURER(GENERAL)
352,SCRAP MERCHANT
353,SCRAP MERCHANT
354,MISCELLANEOUS
355,MISCELLANEOUS
356,MISCELLANEOUS
357,MISCELLANEOUS
358,MISCELLANEOUS
359,MISCELLANEOUS
360,MISCELLANEOUS
361,SCRAP MERCHANT
363,SCRAP MERCHANT
364,SCRAP MERCHANT
365,SCRAP MERCHANT
368,MISCELLANEOUS
369,MISCELLANEOUS
373,MISCELLANEOUS
374,MANUFACTURER(GENERAL)
377,MANUFACTURER(GENERAL)
378,MANUFACTURER(GENERAL)
379,MISCELLANEOUS
380,MANUFACTURER(GENERAL)
383,SCRAP MERCHANT
384,MANUFACTURER(GENERAL)
386,MANUFACTURER(GENERAL)
391,SCRAP MERCHANT
393,DEALERS
395,SCRAP MERCHANT
400,SCRAP MERCHANT
401,SCRAP MERCHANT
402,SCRAP MERCHANT
403,MANUFACTURER(GENERAL)
405,SCRAP MERCHANT
406,MANUFACTURER(GENERAL)
407,MANUFACTURER(GENERAL)
409,SCRAP MERCHANT
410,DEALERS
421,SCRAP MERCHANT
425,SCRAP MERCHANT
427,SCRAP MERCHANT
432,MANUFACTURER(GENERAL)
433,MANUFACTURER(GENERAL)
435,SCRAP MERCHANT
437,MANUFACTURER(GENERAL)
440,MANUFACTURER(GENERAL)
441,SCRAP MERCHANT
442,MANUFACTURER(GENERAL)
444,MISCELLANEOUS
446,MANUFACTURER(GENERAL)
449,MANUFACTURER(GENERAL)
450,MANUFACTURER(GENERAL)
453,MANUFACTURER(GENERAL)
457,MANUFACTURER(GENERAL)
460,MANUFACTURER(GENERAL)
461,TRADERS
462,TRADERS
463,TRADERS
464,TRADERS
465,MANUFACTURER(GENERAL)
466,TRADERS
467,TRADERS
468,MANUFACTURER(GENERAL)
469,TRADERS
473,TRADERS
474,TRADERS
475,TRADERS
477,MANUFACTURER(GENERAL)
478,MANUFACTURER(GENERAL)
480,TRADERS
481,MANUFACTURER(GENERAL)
482,TRADERS
483,TRADERS
484,TRADERS
487,TRADERS
489,TRADERS
490,TRADERS
491,MANUFACTURER(GENERAL)
494,TRADERS
495,TRADERS
496,MANUFACTURER(GENERAL)
499,MANUFACTURER(GENERAL)
501,SCRAP MERCHANT
502,SCRAP MERCHANT
503,SCRAP MERCHANT
504,SCRAP MERCHANT
505,MANUFACTURER(GENERAL)
506,MANUFACTURER(GENERAL)
507,MANUFACTURER(GENERAL)
510,SCRAP MERCHANT
511,SCRAP MERCHANT
512,SCRAP MERCHANT
513,SCRAP MERCHANT
514,SCRAP MERCHANT
515,MANUFACTURER(GENERAL)
516,SCRAP MERCHANT
517,MISCELLANEOUS
519,SCRAP MERCHANT
520,SCRAP MERCHANT
521,SCRAP MERCHANT
522,MANUFACTURER(GENERAL)
