Trade Date,Contract Descriptor,Exchange,Action,Qty,Price,Value,Order Ref.,Securities Transaction Tax-STT,Transaction Charges,Stamp Duty,SEBI Turnover Charges,Brokerage,Service Tax On Brokerage,Total Charges
"03-Apr-25","OPT-NIFTY-03-Apr-2025-23300-P-E-I","NSE","Sell","75","47.85","3588.75","#202504033700016758","3.65","1.28","0","0","29","5.46","39.39"
"03-Apr-25","OPT-NIFTY-03-Apr-2025-23300-P-E-I","NSE","Sell","75","44.45","3333.75","#202504033700018010","3.33","1.18","0","0","29","5.44","38.95"
"03-Apr-25","OPT-NIFTY-03-Apr-2025-23300-P-E-I","NSE","Buy","75","45","3375","#202504033700017781","0","1.2","0","0","29","5.44","35.64"
"03-Apr-25","OPT-NIFTY-03-Apr-2025-23300-P-E-I","NSE","Buy","75","49.05","3678.75","#202504033700015423","0","1.31","0","0","29","5.46","35.77"
"03-Apr-25","OPT-SBIN-24-Apr-2025-770-P-E-S","NSE","Sell","750","10.25","7687.5","#202504033700013624","7.69","2.73","0","0.01","29","5.72","45.15"
"03-Apr-25","OPT-NIFTY-03-Apr-2025-23300-P-E-I","NSE","Buy","300","37.5","11250","#202504033700014083","0","4","0.76","0.01","116","21.6","142.37"
"03-Apr-25","OPT-NIFTY-03-Apr-2025-23300-P-E-I","NSE","Sell","300","47.75","14325","#202504033700014502","14.33","5.09","0","0.01","116","21.8","157.23"
"02-Sep-25","OPT-NIFTY-02-Sep-2025-24700-P-E-I","NSE","Sell","750","40.25","30187.5","#202509023700019020","30","10.73","0","0.03","290","54.14","384.9"
"02-Sep-25","OPT-NIFTY-02-Sep-2025-24700-P-E-I","NSE","Buy","375","24.5","9187.5","#202509023700018665","0","3.26","0","0.01","145","26.7","174.97"
"02-Sep-25","OPT-NIFTY-02-Sep-2025-24700-P-E-I","NSE","Buy","375","24.25","9093.75","#202509023700018759","0","3.23","1","0.01","145","26.68","175.92"
"02-May-25","OPT-NIFTY-08-May-2025-24350-P-E-I","NSE","Buy","75","156.45","11733.75","#202505023700019157","0","4.17","0","0.01","29","5.98","39.16"
"02-May-25","OPT-NIFTY-08-May-2025-24300-P-E-I","NSE","Sell","150","209.15","31372.5","#202505023700017315","31.37","11.15","0","0.03","58","12.46","113.01"
"02-May-25","OPT-NIFTY-08-May-2025-24300-P-E-I","NSE","Buy","75","203","15225","#202505023700017303","0","5.41","0","0.02","29","6.2","40.63"
"02-May-25","OPT-NIFTY-08-May-2025-24350-P-E-I","NSE","Buy","150","204","30600","#202505023700014462","0","10.88","0","0.04","58","12.4","81.32"
"02-May-25","OPT-NIFTY-08-May-2025-24350-P-E-I","NSE","Sell","150","217.25","32587.5","#202505023700014773","32.58","11.58","0","0.04","58","12.52","114.72"
"02-May-25","OPT-NIFTY-08-May-2025-24450-C-E-I","NSE","Buy","150","208.77","31316.25","#202505023700002229","0","11.12","0.94","0.04","58","12.44","82.54"
"02-May-25","OPT-NIFTY-08-May-2025-24450-C-E-I","NSE","Sell","150","227.25","34087.5","#202505023700002386","34.55","12.11","0","0.03","58","12.62","117.31"
"02-May-25","OPT-NIFTY-08-May-2025-24450-P-E-I","NSE","Buy","75","151.25","11343.75","#202505023700008095","0","4.03","1.26","0.01","29","5.94","40.24"
"02-May-25","OPT-NIFTY-08-May-2025-24450-P-E-I","NSE","Sell","75","159.25","11943.75","#202505023700008123","11.94","4.24","0","0.01","29","5.98","51.17"
"02-May-25","OPT-NIFTY-08-May-2025-24500-P-E-I","NSE","Buy","75","202.1","15157.5","#202505023700010749","0","5.39","0.45","0.02","29","6.2","41.06"
"02-May-25","OPT-NIFTY-08-May-2025-24500-P-E-I","NSE","Sell","75","204.55","15341.25","#202505023700011205","15.34","5.45","0","0.02","29","6.2","56.01"
"02-May-25","OPT-NIFTY-08-May-2025-24450-P-E-I","NSE","Buy","150","203.3","30495","#202505023700011548","0","10.84","0","0.04","58","12.4","81.28"
"02-May-25","OPT-NIFTY-08-May-2025-24450-P-E-I","NSE","Sell","150","215.45","32317.5","#202505023700012079","32.32","11.48","0","0.04","58","12.52","114.36"
"02-May-25","OPT-NIFTY-08-May-2025-24350-P-E-I","NSE","Sell","75","146.9","11017.5","#202505023700019299","11.02","3.91","0","0.01","29","5.92","49.86"
"02-May-25","OPT-NIFTY-08-May-2025-24350-P-E-I","NSE","Buy","150","152.7","22905","#202505023700019371","0","8.14","2.44","0.02","58","11.92","80.52"
"02-May-25","OPT-NIFTY-08-May-2025-24350-P-E-I","NSE","Sell","150","145.8","21870","#202505023700019488","21.87","7.77","0","0.02","58","11.84","99.5"
"02-May-25","OPT-NIFTY-08-May-2025-24300-P-E-I","NSE","Buy","75","199.6","14970","#202505023700017225","0","5.32","0.91","0.01","29","6.18","41.42"
"02-Mar-26","OPT-NIFTY-02-Mar-2026-24800-P-E-I","NSE","Buy","910","61.05","55555.5","#202603022700010487","0","19.74","1.51","0.05","406","76.66","503.96"
"02-Mar-26","OPT-NIFTY-02-Mar-2026-24800-P-E-I","NSE","Sell","910","97","88270","#202603022700012542","88.28","31.36","0","0.08","406","78.76","604.48"
